Source,Target,Relationship,Confidence
sucursales,database_database_connections_agilebi,Database,CONFIRMED
sucursales,fileexchange_file_exchange_output,FileExchange,INFERRED
sucursales,other_bonobo_cntower,Other,CONFIRMED
sucursales,other_embedded_analyzers_plsql,Other,CONFIRMED
sucursales,other_fuga,Other,CONFIRMED
sucursales,other_kettle,Other,CONFIRMED
sucursales,other_mssqlserver_jndi_totalpack_datawarehouse,Other,CONFIRMED
sucursales,other_mysql5,Other,CONFIRMED
sucursales,other_mysql_jndi_sgc_datawarehouse,Other,CONFIRMED
sucursales,other_nested_workflows_not_evidenced,Other,CONFIRMED
sucursales,other_oracle_jdbc_desa_rtp_datawarehouse,Other,CONFIRMED
sucursales,other_oracle_jdbc_desa_rtp_ipinchei,Other,CONFIRMED
sucursales,other_oracle_jndi_desa_rtp_ipinchei,Other,CONFIRMED
sucursales,other_oracle_jndi_docuware_datawarehouse,Other,CONFIRMED
sucursales,other_setvariable,Other,CONFIRMED
sucursales,other_textfileinput,Other,INFERRED
sucursales,other_textfileoutput,Other,CONFIRMED
sucursales,other_transf_agendamientozeroq_tds_ktr,Other,INFERRED
