Source,Target,Relationship,Confidence
web,database_database_connections_agilebi,Database,CONFIRMED
web,fileexchange_file_exchange_output,FileExchange,INFERRED
web,other_bonobo_cntower,Other,CONFIRMED
web,other_embedded_analyzers_plsql,Other,CONFIRMED
web,other_excelinput,Other,INFERRED
web,other_fuga,Other,CONFIRMED
web,other_kettle,Other,CONFIRMED
web,other_mssqlserver_jndi_totalpack_datawarehouse,Other,CONFIRMED
web,other_mysql5,Other,CONFIRMED
web,other_mysql_jndi_sgc_datawarehouse,Other,CONFIRMED
web,other_nested_workflows_not_evidenced,Other,CONFIRMED
web,other_oracle_jdbc_desa_rtp_datawarehouse,Other,CONFIRMED
web,other_oracle_jdbc_desa_rtp_ipinchei,Other,CONFIRMED
web,other_oracle_jndi_desa_rtp_ipinchei,Other,CONFIRMED
web,other_oracle_jndi_docuware_datawarehouse,Other,CONFIRMED
web,other_textfileoutput,Other,CONFIRMED
web,other_transf_configuracion_equipo_mesa_tds_ktr,Other,INFERRED
